name,age,position,height,foot,debut,market_value
Anthony Mandréa,25/12/1996 (27),,"1,86 m",N/A,N/A,€2.00m
Oussama Benbout,11/10/1994 (29),,"1,90 m",N/A,N/A,€600k
Moustapha Zeghba,21/11/1990 (33),,"1,90 m",N/A,N/A,€550k
Alexandre Oukidja,19/07/1988 (35),,"1,84 m",N/A,N/A,€500k
Alexis Guendouz,26/01/1996 (27),,"1,91 m",N/A,N/A,€500k
Zakaria Bouhalfaya,11/08/1997 (26),,N/A,N/A,N/A,€350k
Raïs M'Bolhi,25/04/1986 (37),,"1,90 m",N/A,N/A,-
Ramy Bensebaini,16/04/1995 (28),,"1,87 m",N/A,N/A,€12.00m
Aïssa Mandi,22/10/1991 (32),,"1,86 m",N/A,N/A,€2.00m
Ahmed Touba,13/03/1998 (25),,"1,90 m",N/A,N/A,€2.00m
Mohamed Amine Tougai,22/01/2000 (23),,"1,91 m",N/A,N/A,€1.50m
Zineddine Belaid,20/03/1999 (24),,"1,87 m",N/A,N/A,€1.00m
Chouaib Keddad,25/07/1994 (29),,"1,85 m",N/A,N/A,€650k
Mohamed Amine Madani,20/03/1993 (30),,"1,89 m",N/A,N/A,€300k
Rayan Aït-Nouri,06/06/2001 (22),,"1,80 m",N/A,N/A,€28.00m
Yasser Larouci,01/01/2001 (22),,"1,76 m",N/A,N/A,€3.00m
Jaouen Hadjam,26/03/2003 (20),,"1,85 m",N/A,N/A,€1.50m
Naoufel Khacef,27/10/1997 (26),,"1,79 m",N/A,N/A,€300k
Youcef Atal,17/05/1996 (27),,"1,76 m",N/A,N/A,€6.00m
Kevin Van Den Kerkhof,14/03/1996 (27),,"1,90 m",N/A,N/A,€3.00m
Saâdi Radouani,18/03/1995 (28),,"1,82 m",N/A,N/A,€425k
Ismaël Bennacer,01/12/1997 (26),,"1,75 m",N/A,05/09/2025,€35.00m
Ramiz Zerrouki,26/05/1998 (25),,"1,83 m",N/A,N/A,€10.00m
Nabil Bentaleb,24/11/1994 (29),,"1,87 m",N/A,N/A,€8.00m
Hicham Boudaoui,23/09/1999 (24),,"1,75 m",N/A,N/A,€9.00m
Adem Zorgane,06/01/2000 (23),,"1,84 m",N/A,N/A,€5.00m
Ahmed Kendouci,22/06/1999 (24),,"1,76 m",N/A,N/A,€1.30m
Mohamed Farsi,16/12/1999 (24),,"1,78 m",N/A,N/A,€1.50m
Farès Chaïbi,28/11/2002 (21),,"1,83 m",N/A,N/A,€15.00m
Houssem Aouar,30/06/1998 (25),,"1,75 m",N/A,N/A,€13.00m
Himad Abdelli,17/11/1999 (24),,"1,85 m",N/A,N/A,€3.50m
Yassine Benzia,08/09/1994 (29),,"1,78 m",N/A,N/A,€1.00m
Amir Sayoud,30/09/1990 (33),,"1,71 m",N/A,N/A,€700k
Ibrahim Maza,24/11/2005 (18),,"1,80 m",N/A,N/A,€600k
Sofiane Feghouli,26/12/1989 (34),,"1,77 m",N/A,N/A,€450k
Saïd Benrahma,10/08/1995 (28),,"1,72 m",N/A,N/A,€22.00m
Yacine Brahimi,08/02/1990 (33),,"1,75 m",N/A,N/A,€2.80m
Youcef Belaïli,14/03/1992 (31),,"1,79 m",N/A,N/A,€1.50m
Riyad Mahrez,21/02/1991 (32),,"1,79 m",N/A,N/A,€16.00m
Badredine Bouanani,08/12/2004 (19),,"1,77 m",N/A,N/A,€6.00m
Adam Ounas,11/11/1996 (27),,"1,72 m",N/A,N/A,€5.00m
Anis Hadj Moussa,11/02/2002 (21),,"1,76 m",N/A,N/A,€250k
Amine Gouiri,16/02/2000 (23),,"1,81 m",N/A,N/A,€28.00m
Mohamed Amoura,09/05/2000 (23),,"1,70 m",N/A,N/A,€10.00m
Baghdad Bounedjah,24/11/1991 (32),,"1,84 m",N/A,N/A,€3.50m
Monsef Bakrar,13/01/2001 (22),,"1,83 m",N/A,N/A,€1.50m
Islam Slimani,18/06/1988 (35),,"1,88 m",N/A,N/A,€1.30m
Amin Chiakha,12/03/2006 (17),,"1,91 m",N/A,N/A,-
