name,age,position,height,foot,debut,market_value
Signori Antonio,25/07/1994 (29),,"1,87 m",N/A,N/A,€200k
Neblú,16/12/1993 (30),,"1,83 m",N/A,N/A,€200k
Kadú,30/11/1994 (29),,"1,90 m",N/A,N/A,€150k
Ricardo Batista,19/11/1986 (37),,"1,92 m",N/A,N/A,€100k
Gelson,08/07/1999 (24),,"1,83 m",N/A,N/A,€75k
Rui Honésimo,01/05/1996 (27),,N/A,N/A,N/A,-
Landu Langanga,15/10/1996 (27),,"1,90 m",N/A,N/A,-
Agostinho Calunga,10/07/1998 (25),,N/A,N/A,N/A,-
David Carmo,19/07/1999 (24),,"1,96 m",N/A,N/A,€14.00m
Clinton Mata,07/11/1992 (31),,"1,80 m",N/A,N/A,€4.00m
Bastos,27/03/1991 (32),,"1,84 m",N/A,N/A,€1.00m
Kialonda Gaspar,27/09/1997 (26),,"1,93 m",N/A,N/A,€1.00m
Jonathan Buatu,27/09/1993 (30),,"1,87 m",N/A,N/A,€600k
Jonás Ramalho,10/06/1993 (30),,"1,86 m",N/A,N/A,€500k
Inácio Miguel,12/12/1995 (28),,"1,85 m",N/A,N/A,€400k
Kinito,13/03/1998 (25),,"1,87 m",N/A,N/A,€200k
Vidinho,25/02/1998 (25),,"1,90 m",N/A,N/A,-
Núrio Fortuna,24/03/1995 (28),,"1,77 m",N/A,N/A,€2.20m
Sandro Cruz,12/05/2001 (22),,"1,82 m",N/A,N/A,€400k
Tó Carneiro,05/11/1995 (28),,"1,70 m",N/A,N/A,€150k
Pedro Bondo,16/11/2004 (19),,"1,72 m",N/A,N/A,-
Rui Modesto,07/10/1999 (24),,"1,81 m",N/A,N/A,€1.20m
Jordy Gaspar,23/04/1997 (26),,"1,79 m",N/A,N/A,€900k
Eddie Afonso,07/03/1994 (29),,"1,77 m",N/A,N/A,€150k
Antonio Hossi,12/06/2001 (22),,"1,79 m",N/A,N/A,€100k
Show,06/03/1999 (24),,"1,78 m",N/A,N/A,€1.20m
Maestro,04/08/2003 (20),,"1,73 m",N/A,N/A,€750k
Estrela,22/09/1995 (28),,"1,73 m",N/A,N/A,€300k
Aldaír Ferreira,26/03/1998 (25),,"1,75 m",N/A,N/A,€300k
Domingos Andrade,07/05/2003 (20),,"1,83 m",N/A,N/A,€200k
Manuel Keliano,16/01/2003 (20),,"1,85 m",N/A,N/A,€200k
Bruno Paz,23/04/1998 (25),,"1,82 m",N/A,N/A,€900k
Fredy,27/03/1990 (33),,"1,70 m",N/A,N/A,€700k
Beni,21/05/2002 (21),,"1,80 m",N/A,N/A,€600k
Marcos Silva,29/09/1997 (26),,"1,90 m",N/A,N/A,€350k
Megue,02/12/1996 (27),,"1,66 m",N/A,N/A,-
Randy Nteka,06/12/1997 (26),,"1,89 m",N/A,N/A,€1.80m
Milson,12/10/1999 (24),,"1,70 m",N/A,N/A,€1.20m
Jérémie Bela,08/04/1993 (30),,"1,73 m",N/A,N/A,€1.00m
Chico Banza,17/12/1998 (25),,"1,82 m",N/A,N/A,€425k
Elliot Simoes,20/12/1999 (24),,"1,80 m",N/A,N/A,€150k
Manuel Benson,28/03/1997 (26),,"1,66 m",N/A,N/A,€6.00m
Loide Augusto,26/02/2000 (23),,"1,83 m",N/A,N/A,€600k
Gilberto,10/03/2001 (22),,"1,80 m",N/A,N/A,€200k
M'Bala Nzola,18/08/1996 (27),,"1,85 m",N/A,N/A,€10.00m
Zito Luvumbo,09/03/2002 (21),,"1,71 m",N/A,N/A,€6.00m
Gelson,13/07/1996 (27),,"1,75 m",N/A,N/A,€2.50m
Mabululu,01/06/1992 (31),,"1,78 m",N/A,N/A,€800k
Lucas João,04/09/1993 (30),,"1,93 m",N/A,N/A,€800k
Depú,08/01/2000 (23),,"1,87 m",N/A,N/A,€500k
Zini,03/07/2002 (21),,"1,81 m",N/A,N/A,€300k
Miro,22/04/2003 (20),,"1,93 m",N/A,N/A,€200k
