name,age,position,height,foot,debut,market_value
Saturnin Allagbé,22/11/1993 (30),,"1,89 m",N/A,N/A,€200k
Marcel Dandjinou,25/06/1998 (25),,"1,83 m",N/A,N/A,-
Serge Obassa,30/06/1996 (27),,"1,83 m",N/A,N/A,-
Rahman Karim Abdoul Aziz,13/08/2005 (18),,N/A,N/A,N/A,-
Mariano Tchinonvi,29/07/2004 (19),,N/A,N/A,N/A,-
Bachirou Soulemane Sika,16/06/1993 (30),,N/A,N/A,N/A,-
Olivier Verdon,05/10/1995 (28),,"1,90 m",N/A,N/A,€2.00m
Cédric Hountondji,19/01/1994 (29),,"1,94 m",N/A,N/A,€1.80m
Yohan Roche,07/07/1997 (26),,"1,88 m",N/A,N/A,€400k
Mohamed Tijani,10/07/1997 (26),,"1,90 m",N/A,N/A,€400k
Moïse Adilehou,01/11/1995 (28),,"1,90 m",N/A,N/A,€250k
David Kiki,25/11/1993 (30),,"1,80 m",N/A,N/A,€1.10m
Rabiou Sankamao,12/10/2003 (20),,"1,72 m",N/A,N/A,-
Tamimou Ouorou,03/05/2003 (20),,"1,76 m",N/A,N/A,€450k
Brandon Agounon,19/10/1994 (29),,"1,85 m",N/A,N/A,€250k
Youssouf Assogba,21/08/2001 (22),,"1,75 m",N/A,N/A,€250k
Ryan Adigo,15/04/2001 (22),,"1,81 m",N/A,N/A,€50k
Rodrigue Fassinou,16/12/1995 (28),,"1,85 m",N/A,N/A,€50k
Melvyn Doremus,29/10/1996 (27),,"1,81 m",N/A,N/A,-
Abdoul Rachid Moumini,27/10/2004 (19),,"1,67 m",N/A,N/A,-
Sessi D'Almeida,20/11/1995 (28),,"1,78 m",N/A,N/A,€500k
Dokou Dodo,04/05/2004 (19),,"1,77 m",N/A,N/A,€350k
Mariano Ahouangbo,16/11/2002 (21),,"1,72 m",N/A,N/A,€150k
Imourane Hassane,08/04/2003 (20),,"1,82 m",N/A,N/A,€25k
Attidjikou Samadou,02/02/2004 (19),,N/A,N/A,N/A,-
Gislain Ahoudo,02/07/1999 (24),,"1,80 m",N/A,N/A,-
Mattéo Ahlinvi,02/07/1999 (24),,"1,83 m",N/A,N/A,€350k
Junior Olaitan,09/05/2002 (21),,"1,74 m",N/A,N/A,€400k
Lenny Pirringuel,02/03/2004 (19),,"1,70 m",N/A,N/A,€300k
Romaric Amoussou,10/12/2000 (23),,"1,75 m",N/A,N/A,-
Prince Ricardo Dossou,20/07/2006 (17),,"1,75 m",N/A,N/A,-
Charbel Gomez,27/01/2001 (22),,"1,84 m",N/A,N/A,€200k
David Tchétchao Karo,29/09/2003 (20),,"1,72 m",N/A,N/A,-
Jodel Dossou,17/03/1992 (31),,"1,71 m",N/A,N/A,€500k
Steve Traoré,18/02/1998 (25),,"1,68 m",N/A,N/A,€100k
Steve Mounié,29/09/1994 (29),,"1,89 m",N/A,N/A,€5.00m
Aiyegun Tosin,26/06/1998 (25),,"1,79 m",N/A,N/A,€4.00m
Andréas Hountondji,11/07/2002 (21),,"1,90 m",N/A,N/A,€700k
