name,age,position,height,foot,debut,market_value
Kabelo Dambe,10/05/1990 (33),,"1,74 m",N/A,N/A,-
Goitseone Phoko,13/12/1994 (29),,N/A,N/A,N/A,-
Lesenya Malapela,10/07/1996 (27),,N/A,N/A,N/A,-
Thabo Motswagole,22/04/2000 (23),,N/A,N/A,N/A,-
Maikano Tladinyane,14/09/2001 (22),,N/A,N/A,N/A,-
Kenneth Mmoko,13/10/1999 (24),,N/A,N/A,N/A,-
Tawana Mbakile,14/07/2000 (23),,N/A,N/A,N/A,-
Thatayaone Ditlhokwe,21/09/1998 (25),,"1,86 m",N/A,N/A,€600k
Mosha Gaolaolwe,25/12/1993 (30),,"1,90 m",N/A,N/A,-
Alford Velaphi,18/01/1999 (24),,N/A,N/A,N/A,-
Tebogo Kopelang,24/04/2000 (23),,"1,91 m",N/A,N/A,-
Thabo Babutsi,16/03/2002 (21),,N/A,N/A,N/A,-
Mothusi Johnson,28/07/1997 (26),,N/A,N/A,N/A,-
Kitso Mangolo,06/01/1999 (24),,N/A,N/A,N/A,-
Tlamelo Kolagano,02/08/2001 (22),,N/A,N/A,N/A,-
Chicco Molefe,19/07/1995 (28),,N/A,N/A,N/A,-
Motsholetsi Sikele,01/12/1991 (32),,"1,69 m",N/A,N/A,-
Tshepo Maikano,11/07/1988 (35),,N/A,N/A,N/A,-
Thabo Leinanyane,27/07/1993 (30),,"1,79 m",N/A,N/A,-
Botsile Sakana,26/01/2001 (22),,N/A,N/A,N/A,-
Gape Edwin Mohutsiwa,20/03/1997 (26),,"1,80 m",N/A,N/A,€225k
Ricky Ratlhogo,08/12/2000 (23),,N/A,N/A,N/A,-
Koketso Majafi,07/11/1992 (31),,N/A,N/A,N/A,-
Obakeng Senono,29/09/1999 (24),,N/A,N/A,N/A,-
Botshelo Mangena,(-),,N/A,N/A,N/A,-
Lebogang Ditsele,20/04/1996 (27),,"1,85 m",N/A,N/A,€100k
Phenyo Nicolas Serameng,27/09/1996 (27),,N/A,N/A,N/A,-
Olebogeng Ramotse,17/01/1998 (25),,N/A,N/A,N/A,-
Oarabile Sekwai,28/11/1998 (25),,N/A,N/A,N/A,-
Thatayaone Kgamanyane,30/01/1996 (27),,"1,81 m",N/A,N/A,€150k
Segolame Boy,07/11/1992 (31),,"1,76 m",N/A,N/A,-
Gift Moyo,20/08/1990 (33),,"1,71 m",N/A,N/A,-
Gilbert Baruti,16/03/1992 (31),,"1,68 m",N/A,N/A,-
Godiraone Modingwane,26/06/1996 (27),,N/A,N/A,N/A,-
Gape Thibedi,02/01/2000 (23),,N/A,N/A,N/A,-
Kabelo Seakanyeng,25/06/1993 (30),,"1,75 m",N/A,N/A,€325k
Thabang Sesinyi,15/10/1992 (31),,"1,82 m",N/A,N/A,€75k
Tlhalefo Molebatsi,22/10/1994 (29),,"1,65 m",N/A,N/A,-
Tumisang Orebonye,26/03/1996 (27),,"1,80 m",N/A,N/A,€450k
Omaatla Kebatho,16/06/1993 (30),,"1,80 m",N/A,N/A,-
Molaodi Tlhalefang,07/07/1997 (26),,N/A,N/A,N/A,-
Christopher Lemme,05/11/1995 (28),,N/A,N/A,31/01/2025,-
Thabiso Bante,25/04/1995 (28),,N/A,N/A,N/A,-
