name,age,position,height,foot,debut,market_value
Salim Ben Boina,19/07/1991 (32),,"1,89 m",N/A,N/A,€150k
Yannick Pandor,01/05/2001 (22),,"1,92 m",N/A,N/A,€150k
Adel Anzimati-Aboudou,05/11/2001 (22),,"1,94 m",N/A,N/A,€50k
Warmed Omari,23/04/2000 (23),,"1,88 m",N/A,N/A,€8.00m
Ahmed Soilihi,01/07/1996 (27),,"1,85 m",N/A,N/A,€200k
Younn Zahary,20/10/1998 (25),,"1,93 m",N/A,N/A,€150k
Yakine Said M'Madi,11/03/2004 (19),,"1,84 m",N/A,N/A,€150k
Kassim M'Dahoma,26/01/1997 (26),,"1,90 m",N/A,N/A,€100k
Ismaël Boura,14/08/2000 (23),,"1,73 m",N/A,N/A,€1.00m
Akim Abdallah,18/08/1997 (26),,"1,70 m",N/A,N/A,€700k
Rémy Vita,01/04/2001 (22),,"1,70 m",N/A,N/A,€700k
Saïd Bakari,22/09/1994 (29),,"1,78 m",N/A,N/A,€800k
Benjaloud Youssouf,11/02/1994 (29),,"1,75 m",N/A,N/A,€400k
Mohamed Abdallah,11/04/1999 (24),,"1,67 m",N/A,N/A,€400k
Akim Djaha,14/09/1998 (25),,"1,70 m",N/A,N/A,€300k
Mohamed Youssouf,26/03/1988 (35),,"1,69 m",N/A,N/A,€200k
Glenn Younousse,17/07/2004 (19),,"1,80 m",N/A,N/A,-
Iyad Mohamed,05/03/2001 (22),,"1,91 m",N/A,N/A,€200k
Rafidine Abdullah,15/01/1994 (29),,"1,79 m",N/A,N/A,-
Yacine Bourhane,30/09/1998 (25),,"1,90 m",N/A,N/A,-
Raimane Daou,20/11/2004 (19),,"1,82 m",N/A,N/A,-
Zainou Dine Mohamed,16/06/2000 (23),,N/A,N/A,N/A,-
Zaydou Youssouf,11/07/1999 (24),,"1,82 m",N/A,N/A,€4.00m
Youssouf M'Changama,29/08/1990 (33),,"1,75 m",N/A,N/A,€500k
Naimoudine Assane,05/01/1998 (25),,N/A,N/A,N/A,-
Kassim Hadji,23/03/2000 (23),,"1,77 m",N/A,N/A,€175k
Aymeric Ahmed,08/11/2003 (20),,"1,75 m",N/A,N/A,€100k
Rayan Lutin,16/01/2003 (20),,"1,70 m",N/A,N/A,€50k
Faïz Selemani,14/11/1993 (30),,"1,82 m",N/A,N/A,€2.30m
Rafiki Saïd,15/03/2000 (23),,"1,80 m",N/A,N/A,€1.20m
Myziane Maolida,14/02/1999 (24),,"1,81 m",N/A,N/A,€700k
Faiz Mattoir,12/07/2000 (23),,"1,69 m",N/A,N/A,€300k
Ahmed Mogni,10/10/1991 (32),,"1,75 m",N/A,N/A,€125k
Adel Mahamoud,04/02/2003 (20),,"1,83 m",N/A,N/A,-
El Fardou Ben,10/06/1989 (34),,"1,74 m",N/A,N/A,€500k
Ibroihim Youssouf,06/05/1994 (29),,N/A,N/A,N/A,€75k
Affane Saïd Djambae,22/09/2000 (23),,"1,83 m",N/A,N/A,-
