name,age,position,height,foot,debut,market_value
Jesús Owono,01/03/2001 (22),,"1,86 m",N/A,N/A,€200k
Manuel Sapunga,23/11/1992 (31),,"1,82 m",N/A,N/A,€50k
Marcos Ondo,13/08/2000 (23),,"1,85 m",N/A,N/A,-
Aitor Embela,17/04/1996 (27),,"1,83 m",N/A,N/A,-
Miguel Eyama,08/07/1998 (25),,N/A,N/A,N/A,-
Marcelo Asumu,16/01/1992 (31),,"1,65 m",N/A,N/A,-
Richi,22/07/1995 (28),,N/A,N/A,N/A,-
Jhonny Andonis,17/11/2004 (19),,N/A,N/A,N/A,-
Saúl Coco,09/02/1999 (24),,"1,87 m",N/A,N/A,€3.00m
Luis Enrique Nsue,16/01/1998 (25),,"1,87 m",N/A,N/A,€150k
Marvin Anieboh,26/08/1997 (26),,"1,87 m",N/A,N/A,€150k
José Elo,21/10/2000 (23),,"1,90 m",N/A,N/A,€100k
Esteban Orozco,07/05/1998 (25),,"1,86 m",N/A,N/A,€100k
Javier Mum,24/01/2001 (22),,N/A,N/A,N/A,€50k
Vicente Asumu,14/06/2001 (22),,"1,85 m",N/A,N/A,-
Hugo Buyla,08/03/2005 (18),,"1,92 m",N/A,N/A,-
Rafael Bekongo,22/02/2006 (17),,"1,90 m",N/A,N/A,-
Charles Ondo,22/10/2003 (20),,"1,90 m",N/A,N/A,-
Basilio Ndong,17/01/1999 (24),,"1,73 m",N/A,N/A,€450k
Cosme Anvene,03/03/1990 (33),,"1,79 m",N/A,N/A,€75k
Carlos Akapo,12/03/1993 (30),,"1,79 m",N/A,N/A,€1.00m
Fede Nguema,20/04/1997 (26),,"1,65 m",N/A,N/A,€150k
Luis Meseguer,07/09/1999 (24),,"1,77 m",N/A,N/A,€100k
Cristian Ebea,02/02/2001 (22),,N/A,N/A,N/A,€100k
Néstor Senra,04/01/2002 (21),,"1,78 m",N/A,N/A,€25k
Omar Mascarell,02/02/1993 (30),,"1,81 m",N/A,N/A,€1.00m
Gerardo Dougan,05/10/2001 (22),,"1,66 m",N/A,N/A,-
Ramón Boho,30/08/2001 (22),,N/A,N/A,N/A,-
Pepín Machín,14/08/1996 (27),,"1,84 m",N/A,N/A,€1.40m
Pedro Obiang,27/03/1992 (31),,"1,86 m",N/A,N/A,€500k
Pablo Ganet,04/11/1994 (29),,"1,82 m",N/A,N/A,€300k
Federico Bikoro,17/03/1996 (27),,"1,88 m",N/A,N/A,€250k
Jannick Buyla,06/10/1998 (25),,"1,80 m",N/A,N/A,€250k
Álex Balboa,06/03/2001 (22),,"1,81 m",N/A,N/A,€200k
Gael Joel Akogo,21/12/2003 (20),,N/A,N/A,N/A,-
Raúl Constantino Ondo,02/03/2000 (23),,N/A,N/A,N/A,-
José Fidel Sipi,07/01/2001 (22),,"1,62 m",N/A,N/A,€100k
Santiago Eneme,29/09/2000 (23),,"1,83 m",N/A,N/A,€200k
Basilio Rieno,16/11/2004 (19),,N/A,N/A,N/A,-
Josete Miranda,22/07/1998 (25),,"1,70 m",N/A,N/A,€300k
Salomón Obama,04/02/2000 (23),,"1,76 m",N/A,N/A,€300k
Joanet López,01/03/1999 (24),,"1,77 m",N/A,N/A,€150k
Jordan Gutiérrez,08/07/1998 (25),,"1,69 m",N/A,N/A,€100k
Domingo Mba,24/02/2000 (23),,N/A,N/A,N/A,-
Iban Salvador,11/12/1995 (28),,"1,73 m",N/A,N/A,€350k
Emilio Nsue,30/09/1989 (34),,"1,81 m",N/A,N/A,€250k
Dorian Hanza,12/05/2001 (22),,"1,89 m",N/A,N/A,€250k
Luis Asué,09/07/2001 (22),,"1,84 m",N/A,N/A,€175k
Óscar Siafa,12/09/1997 (26),,"1,91 m",N/A,N/A,€150k
Noé Ela,17/04/2003 (20),,"1,85 m",N/A,N/A,€100k
Pedro Oba,18/05/1996 (27),,N/A,N/A,N/A,-
Cristian Makaté,21/09/2002 (21),,"1,78 m",N/A,N/A,-
Nabil Ondó,23/11/2005 (18),,"1,80 m",N/A,N/A,-
