name,age,position,height,foot,debut,market_value
Junior Noubi,20/06/1999 (24),,"1,90 m",N/A,N/A,-
Loyce Mbaba,04/05/1998 (25),,N/A,N/A,N/A,-
Anse Ngoubi Demba,31/01/2000 (23),,"1,90 m",N/A,N/A,-
Loïc Owono,18/09/1999 (24),,N/A,N/A,N/A,-
Georges Lata Lloyd,13/10/2001 (22),,N/A,N/A,N/A,-
Aaron Appindangoyé,20/02/1992 (31),,"1,84 m",N/A,N/A,€700k
Alex Moucketou-Moussounda,10/10/2000 (23),,"1,85 m",N/A,N/A,€500k
Sidney Obissa,04/05/2000 (23),,"1,92 m",N/A,N/A,€350k
Bruno Ecuele Manga,16/07/1988 (35),,"1,86 m",N/A,N/A,€200k
Michel Mboula,30/04/2003 (20),,"1,85 m",N/A,N/A,€175k
Yannis M'Bemba,01/07/2001 (22),,"1,94 m",N/A,N/A,€150k
Jacques Ekomié,19/08/2003 (20),,"1,79 m",N/A,N/A,€800k
Wilfried Ebane,26/04/1992 (31),,"1,74 m",N/A,N/A,-
Anthony Oyono,12/04/2001 (22),,"1,84 m",N/A,N/A,€2.50m
Jérémy Oyono,12/04/2001 (22),,"1,78 m",N/A,N/A,-
Stane Essono,28/05/1998 (25),,"1,80 m",N/A,N/A,-
Mario Lemina,01/09/1993 (30),,"1,84 m",N/A,N/A,€10.00m
Serge-Junior Ngouali,23/01/1992 (31),,"1,75 m",N/A,N/A,€250k
Medwin Biteghé,01/09/1996 (27),,"1,81 m",N/A,N/A,€225k
Clench Loufilou,12/04/1999 (24),,"1,83 m",N/A,N/A,€200k
Brimau Nziengui,24/01/2001 (22),,"1,72 m",N/A,N/A,-
Roy Mbongui,01/12/2005 (18),,"1,76 m",N/A,N/A,-
Jeff Biloungou Nguebe,03/09/1994 (29),,"1,70 m",N/A,N/A,-
Lionel Obame,(-),,N/A,N/A,N/A,-
Guélor Kanga,01/09/1990 (33),,"1,67 m",N/A,N/A,€1.50m
Eric Bocoum,16/03/1999 (24),,"1,95 m",N/A,N/A,€250k
Jack Rissonga,22/02/1996 (27),,"1,82 m",N/A,N/A,-
Denis Bouanga,11/11/1994 (29),,"1,80 m",N/A,N/A,€10.00m
Jim Allevinah,27/02/1995 (28),,"1,72 m",N/A,N/A,€2.00m
Shavy Babicka,01/06/2000 (23),,"1,79 m",N/A,N/A,€1.00m
David Sambissa,11/01/1996 (27),,"1,77 m",N/A,N/A,€300k
Pierre-Emerick Aubameyang,18/06/1989 (34),,"1,87 m",N/A,N/A,€4.00m
Axel Méyé,06/06/1995 (28),,"1,82 m",N/A,N/A,€600k
Rody Junior Effaghe,11/04/2004 (19),,"1,85 m",N/A,N/A,€325k
Orphé Mbina,02/11/2000 (23),,"1,88 m",N/A,N/A,€300k
Alan Do Marcolino,19/03/2002 (21),,"1,94 m",N/A,N/A,€200k
Jeremie Obounet Moussango,17/08/2002 (21),,"1,80 m",N/A,N/A,€100k
Junhior Bayanho Aubiang,25/12/1996 (27),,N/A,N/A,N/A,-
Edlin Randy Essang-Matouti,25/07/2003 (20),,"1,80 m",N/A,N/A,-
