name,age,position,height,foot,debut,market_value
Yassine Bounou,05/04/1991 (32),,"1,95 m",N/A,17/08/2023,€11.00m
El Mehdi Benabid,24/01/1998 (25),,"1,88 m",N/A,27/01/2025,€1.50m
Munir El Kajoui,10/05/1989 (34),,"1,90 m",N/A,02/07/2024,€900k
Salaheddine Chihab,23/02/1993 (30),,"1,98 m",N/A,01/12/2022,€300k
Nayef Aguerd,30/03/1996 (27),,"1,90 m",N/A,01/09/2025,€38.00m
Chadi Riad,17/06/2003 (20),,"1,87 m",N/A,02/07/2024,€6.00m
Romain Saïss,26/03/1990 (33),,"1,88 m",N/A,24/07/2023,€3.50m
Abdel Abqar,10/03/1999 (24),,"1,88 m",N/A,29/07/2025,€3.00m
Adam Masina,02/01/1994 (29),,"1,91 m",N/A,01/07/2024,€1.50m
Achraf Dari,06/05/1999 (24),,"1,88 m",N/A,28/08/2024,€1.50m
Jamal Harkass,24/11/1995 (28),,"1,86 m",N/A,27/08/2025,€1.20m
Yunis Abdelhamid,28/09/1987 (36),,"1,90 m",N/A,14/07/2025,€700k
Yahia Attiyat Allah,02/03/1995 (28),,"1,76 m",N/A,08/02/2024,€2.50m
Youssef Belammari,20/09/1998 (25),,"1,83 m",N/A,02/07/2023,€850k
Youssef Enríquez,07/10/2005 (18),,"1,70 m",N/A,16/07/2025,-
Adam Aznou,02/06/2006 (17),,"1,78 m",N/A,29/07/2025,-
Achraf Hakimi,04/11/1998 (25),,"1,81 m",N/A,06/07/2021,€65.00m
Noussair Mazraoui,14/11/1997 (26),,"1,83 m",N/A,13/08/2024,€30.00m
Zakaria El Ouahdi,31/12/2001 (22),,"1,73 m",N/A,05/09/2023,€2.50m
Mohamed Chibi,21/01/1993 (30),,"1,79 m",N/A,15/09/2022,€800k
Sofyan Amrabat,21/08/1996 (27),,"1,85 m",N/A,01/09/2025,€28.00m
Oussama El Azzouzi,29/05/2001 (22),,"1,89 m",N/A,01/08/2025,€2.00m
Oussama Targhalline,20/05/2002 (21),,"1,86 m",N/A,04/02/2025,€800k
Reda Belahyane,01/06/2004 (19),,"1,73 m",N/A,03/02/2025,€200k
Azzedine Ounahi,19/04/2000 (23),,"1,82 m",N/A,30/08/2025,€12.00m
Ismael Saibari,28/01/2001 (22),,"1,85 m",N/A,01/07/2022,€10.00m
Amir Richardson,24/01/2002 (21),,"1,97 m",N/A,12/08/2024,€6.00m
Bilal El Khannouss,10/05/2004 (19),,"1,80 m",N/A,01/09/2025,€22.00m
Amine Harit,18/06/1997 (26),,"1,80 m",N/A,12/09/2025,€15.00m
Sofiane Boufal,17/09/1993 (30),,"1,75 m",N/A,03/09/2024,€7.00m
Selim Amallah,15/11/1996 (27),,"1,85 m",N/A,02/10/2025,€2.50m
Amine Adli,10/05/2000 (23),,"1,80 m",N/A,21/08/2025,€25.00m
Eliesse Ben Seghir,16/02/2005 (18),,"1,78 m",N/A,31/08/2025,€18.00m
Abde Ezzalzouli,17/12/2001 (22),,"1,77 m",N/A,01/09/2023,€15.00m
Osame Sahraoui,11/06/2001 (22),,"1,70 m",N/A,01/08/2024,€6.50m
Soufiane Rahimi,02/06/1996 (27),,"1,80 m",N/A,24/08/2021,€6.00m
Brahim Díaz,03/08/1999 (24),,"1,70 m",N/A,06/01/2019,€20.00m
Hakim Ziyech,19/03/1993 (30),,"1,80 m",N/A,23/10/2025,€12.00m
Zakaria Aboukhlal,18/02/2000 (23),,"1,79 m",N/A,29/07/2025,€10.00m
Ilias Akhomach,16/04/2004 (19),,"1,75 m",N/A,03/07/2023,€3.00m
Youssef En-Nesyri,01/06/1997 (26),,"1,88 m",N/A,24/07/2024,€18.00m
Tarik Tissoudali,02/04/1993 (30),,"1,82 m",N/A,10/07/2025,€6.50m
Ayoub El Kaabi,25/06/1993 (30),,"1,82 m",N/A,06/08/2023,€3.50m
