name,age,position,height,foot,debut,market_value
Fazito,09/06/2003 (20),,"1,78 m",N/A,N/A,€75k
Ivane Urrubal,03/01/1997 (26),,"1,84 m",N/A,N/A,€75k
Ernan,07/09/1998 (25),,"1,86 m",N/A,N/A,€75k
Kimiss,08/05/2004 (19),,"1,86 m",N/A,N/A,-
Edmilson Dove,18/07/1994 (29),,"1,78 m",N/A,N/A,€700k
David Malembana,11/10/1995 (28),,"1,96 m",N/A,N/A,€225k
Mexer,08/09/1988 (35),,"1,88 m",N/A,N/A,€200k
Nené,15/11/1996 (27),,"1,85 m",N/A,N/A,€75k
Martinho,27/09/1999 (24),,"1,83 m",N/A,N/A,€50k
Chamboco,15/06/1998 (25),,"1,80 m",N/A,N/A,-
Reinildo Mandava,21/01/1994 (29),,"1,80 m",N/A,N/A,€16.00m
Bruno Langa,31/10/1997 (26),,"1,78 m",N/A,N/A,€1.50m
Nanani,08/02/1996 (27),,"1,70 m",N/A,N/A,€100k
Domingos Macandza,17/06/1998 (25),,"1,75 m",N/A,N/A,€75k
Guima,14/11/1995 (28),,"1,81 m",N/A,N/A,€400k
Alfons Amade,12/11/1999 (24),,"1,72 m",N/A,N/A,€350k
Amadú,03/12/1996 (27),,"1,87 m",N/A,N/A,€75k
Shaquille,24/11/1997 (26),,"1,81 m",N/A,N/A,€50k
Ali Abudo,03/02/1999 (24),,"1,73 m",N/A,N/A,-
Geny Catamo,26/01/2001 (22),,"1,72 m",N/A,N/A,€4.00m
João Bonde,09/01/1997 (26),,"1,69 m",N/A,N/A,€50k
Domingues,13/11/1983 (40),,"1,73 m",N/A,N/A,€25k
Pepo,24/03/1994 (29),,"1,70 m",N/A,N/A,-
Witi,26/08/1996 (27),,"1,77 m",N/A,N/A,€450k
Clésio Baúque,11/10/1994 (29),,"1,74 m",N/A,N/A,€250k
Gildo,31/01/1995 (28),,"1,71 m",N/A,N/A,€150k
Jonathan Muiomo,28/01/1999 (24),,"1,85 m",N/A,N/A,€100k
Stanley Ratifo,05/12/1994 (29),,"1,90 m",N/A,N/A,€75k
Lau King,04/09/1995 (28),,"1,89 m",N/A,N/A,€75k
Dayo António,20/08/1988 (35),,"1,77 m",N/A,N/A,-
Elias Macamo,14/01/1994 (29),,"1,68 m",N/A,N/A,-
Melque,26/06/1997 (26),,"1,75 m",N/A,N/A,-
Chamito,14/01/2004 (19),,"1,84 m",N/A,N/A,-
