name,age,position,height,foot,debut,market_value
Edouard Mendy,01/03/1992 (31),,"1,94 m",N/A,N/A,€10.00m
Mory Diaw,22/06/1993 (30),,"1,97 m",N/A,N/A,€2.00m
Seny Dieng,23/11/1994 (29),,"1,93 m",N/A,N/A,€2.00m
Alfred Gomis,05/09/1993 (30),,"1,96 m",N/A,N/A,€1.50m
Moussa Niakhaté,08/03/1996 (27),,"1,90 m",N/A,N/A,€16.00m
Kalidou Koulibaly,20/06/1991 (32),,"1,86 m",N/A,N/A,€11.00m
Abdou Diallo,04/05/1996 (27),,"1,86 m",N/A,N/A,€9.00m
Formose Mendy,02/01/2001 (22),,"1,91 m",N/A,N/A,€5.00m
Abdoulaye Ndiaye,10/04/2002 (21),,"1,95 m",N/A,N/A,€3.00m
Mikayil Faye,14/07/2004 (19),,"1,83 m",N/A,N/A,€1.50m
Abdoulaye Seck,04/06/1992 (31),,"1,91 m",N/A,N/A,€1.40m
Seydou Sano,28/10/2004 (19),,"1,94 m",N/A,N/A,€400k
Ismail Jakobs,17/08/1999 (24),,"1,84 m",N/A,N/A,€8.00m
Fodé Ballo-Touré,03/01/1997 (26),,"1,82 m",N/A,N/A,€3.00m
El Hadji Malick Diouf,28/12/2004 (19),,"1,83 m",N/A,N/A,€1.30m
Abdou Aziz Ndiaye,18/11/2005 (18),,"1,80 m",N/A,N/A,-
Pape Gueye,24/01/1999 (24),,"1,89 m",N/A,N/A,€8.00m
Dion Lopy,02/02/2002 (21),,"1,84 m",N/A,N/A,€6.00m
Idrissa Gueye,26/09/1989 (34),,"1,74 m",N/A,N/A,€4.00m
Rassoul Ndiaye,11/12/2001 (22),,"1,79 m",N/A,N/A,€3.50m
Nampalys Mendy,23/06/1992 (31),,"1,68 m",N/A,N/A,€3.00m
Cheikhou Kouyaté,21/12/1989 (34),,"1,89 m",N/A,N/A,€1.00m
Mamadou Lamine Camara,05/01/2003 (20),,"1,93 m",N/A,N/A,€600k
Ibrahima Seck,19/05/2004 (19),,"1,75 m",N/A,N/A,€50k
Pape Matar Sarr,14/09/2002 (21),,"1,84 m",N/A,N/A,€35.00m
Habib Diarra,03/01/2004 (19),,"1,78 m",N/A,N/A,€18.00m
Lamine Camara,01/01/2004 (19),,"1,73 m",N/A,N/A,€4.00m
Pathé Ciss,16/03/1994 (29),,"1,86 m",N/A,N/A,€3.00m
Sadio Mané,10/04/1992 (31),,"1,74 m",N/A,N/A,€20.00m
Abdallah Sima,17/06/2001 (22),,"1,88 m",N/A,N/A,€7.00m
Cheikh Sabaly,04/03/1999 (24),,"1,68 m",N/A,N/A,€2.00m
Amara Diouf,07/06/2008 (15),,"1,75 m",N/A,N/A,-
Ismaïla Sarr,25/02/1998 (25),,"1,85 m",N/A,N/A,€20.00m
Iliman Ndiaye,06/03/2000 (23),,"1,80 m",N/A,N/A,€18.00m
Krépin Diatta,25/02/1999 (24),,"1,75 m",N/A,N/A,€12.00m
Nicolas Jackson,20/06/2001 (22),,"1,87 m",N/A,N/A,€35.00m
Boulaye Dia,16/11/1996 (27),,"1,80 m",N/A,N/A,€18.00m
Habib Diallo,18/06/1995 (28),,"1,86 m",N/A,N/A,€12.00m
Bamba Dieng,23/03/2000 (23),,"1,78 m",N/A,N/A,€7.00m
Cherif Ndiaye,23/01/1996 (27),,"1,90 m",N/A,N/A,€3.00m
Abdou Ndiaye,27/03/1996 (27),,N/A,N/A,N/A,-
