name,age,position,height,foot,debut,market_value
Ali Abdallah Abu-Eshrein,01/01/1989 (34),,"1,92 m",N/A,N/A,€200k
Mohamed Mustafa,19/02/1996 (27),,N/A,N/A,N/A,€100k
Akram Salim,27/02/1987 (36),,"1,86 m",N/A,N/A,-
Mohamed Kidiaba,23/06/1990 (33),,"1,78 m",N/A,N/A,-
Ahmed Al Fatih,03/07/1993 (30),,N/A,N/A,N/A,-
Amier Kamal,24/07/1992 (31),,N/A,N/A,N/A,€200k
Salah Mahmoud Nemer,01/01/1992 (31),,"1,90 m",N/A,N/A,€150k
Mustafa Karshom,06/12/1992 (31),,N/A,N/A,N/A,€100k
Abdelrahman Kuku,26/10/1998 (25),,"1,93 m",N/A,N/A,-
Emad Alsini,05/06/1993 (30),,N/A,N/A,N/A,-
Mohamed Saeed Ahmed,20/10/1997 (26),,"1,81 m",N/A,N/A,-
Altayeb Abaker,01/01/1991 (32),,"1,82 m",N/A,N/A,-
Bakhit Khamis,01/01/1994 (29),,N/A,N/A,N/A,-
Ahmed Tabanja,02/09/2000 (23),,"1,75 m",N/A,N/A,-
Mazen Bashir Simbo,02/10/2002 (21),,N/A,N/A,N/A,-
Awad Zaid,01/01/1993 (30),,N/A,N/A,N/A,€50k
Sheddy Barglan,03/10/2002 (21),,"1,78 m",N/A,N/A,-
Musab Makeen,28/05/1996 (27),,N/A,N/A,N/A,-
Mohamed Al-Rasheed,01/01/1997 (26),,N/A,N/A,N/A,€100k
Ammar Taifour,12/04/1997 (26),,N/A,N/A,N/A,€25k
Wagdi Alla,03/02/1996 (27),,N/A,N/A,N/A,-
Suliman Ezz Allah,10/02/2005 (18),,N/A,N/A,N/A,-
Mosab Garang,02/05/2004 (19),,N/A,N/A,N/A,-
Salaheldin Adil,03/04/1995 (28),,"1,90 m",N/A,N/A,-
Walieldin Khidir,15/09/1995 (28),,"1,89 m",N/A,N/A,€200k
Mohamed Abuaagla,11/03/1993 (30),,"1,78 m",N/A,N/A,€50k
Ramadan Agab,19/09/1989 (34),,"1,73 m",N/A,N/A,€200k
Al-Gozoli Nooh,24/10/2002 (21),,N/A,N/A,N/A,€100k
Sharafeldin Shaiboub Ali,07/06/1994 (29),,"1,83 m",N/A,N/A,€200k
Abdelrazig Omer,18/07/1993 (30),,"1,67 m",N/A,N/A,€100k
Al-Samany Al-Sawi,31/10/1991 (32),,"1,70 m",N/A,N/A,-
Ahmed Al-Tash,07/03/1993 (30),,N/A,N/A,N/A,-
Saif Thierry,01/01/1994 (29),,"1,84 m",N/A,N/A,€100k
Musa Ali Hussein,27/10/2006 (17),,N/A,N/A,N/A,-
Abo Eisa,05/01/1996 (27),,"1,80 m",N/A,N/A,€150k
Mohamed Adam,05/08/2000 (23),,"1,78 m",N/A,N/A,-
Eid Mugadam,17/09/1999 (24),,"1,76 m",N/A,N/A,-
Yasir Mozamil,01/01/1992 (31),,"1,76 m",N/A,N/A,-
Mo Eisa,12/07/1994 (29),,"1,83 m",N/A,N/A,€350k
Mohamed Abdelrahman,10/07/1993 (30),,"1,70 m",N/A,N/A,€250k
Abdulrahman Abdulkarim,05/08/2005 (18),,N/A,N/A,N/A,-
John Mano,12/12/2001 (22),,N/A,N/A,N/A,-
