name,age,position,height,foot,debut,market_value
Aishi Salum Manula,13/09/1995 (28),,"1,83 m",N/A,N/A,€150k
Metacha Mnata,25/11/1998 (25),,N/A,N/A,N/A,€50k
Beno David Kakolanya,27/06/1994 (29),,"1,76 m",N/A,N/A,-
Kwesi Kawawa,05/12/2001 (22),,"1,85 m",N/A,N/A,-
Ally Salim,19/04/2000 (23),,"1,80 m",N/A,N/A,-
Abuutwalib Mshary,02/02/1999 (24),,"1,76 m",N/A,N/A,-
Zuberi Foba,23/05/2002 (21),,N/A,N/A,N/A,-
Yonna Geoffrey,09/08/1999 (24),,N/A,N/A,N/A,-
Abdalla Said Ali,23/03/2003 (20),,N/A,N/A,N/A,-
Abdi Banda,20/05/1995 (28),,"1,85 m",N/A,N/A,€175k
Miano van den Bos,31/03/2003 (20),,"1,82 m",N/A,N/A,-
Bakari Mwamnyeto,05/10/1995 (28),,"1,85 m",N/A,N/A,-
Kennedy Juma,07/08/1994 (29),,"1,88 m",N/A,N/A,-
Dickson Job,29/12/2000 (23),,N/A,N/A,N/A,-
Ibrahim Ame,12/03/1993 (30),,"1,81 m",N/A,N/A,-
Lusajo Mwaikenda,27/10/2000 (23),,"1,74 m",N/A,N/A,-
Ibrahim Hamad,12/11/1997 (26),,"1,77 m",N/A,N/A,-
Lameck Lawi,12/09/2005 (18),,N/A,N/A,N/A,-
Abdulmalik Zakaria,03/03/1996 (27),,"1,87 m",N/A,N/A,-
Mukrim Issa,02/01/2004 (19),,N/A,N/A,N/A,-
Mohamed Hussein,01/11/1996 (27),,"1,69 m",N/A,N/A,€75k
Nickson Kibabage,12/10/2000 (23),,"1,63 m",N/A,N/A,€50k
Pascal Msindo,15/08/2003 (20),,N/A,N/A,N/A,-
David Bryson,12/03/2002 (21),,N/A,N/A,N/A,-
Shomari Kapombe,28/01/1992 (31),,"1,75 m",N/A,N/A,-
Nathaniel Chilambo,10/11/1999 (24),,"1,68 m",N/A,N/A,-
Novatus Miroshi,02/09/2002 (21),,"1,85 m",N/A,N/A,€800k
Himid Mao Mkami,05/11/1992 (31),,"1,77 m",N/A,N/A,€400k
Adolf Bitegeko,26/02/1999 (24),,"1,78 m",N/A,N/A,€25k
Khalid Habibu,10/09/2001 (22),,N/A,N/A,N/A,-
Abel Josiah,(-),,N/A,N/A,N/A,-
Abdulkarim Kassim Kiswanya,24/02/2005 (18),,N/A,N/A,N/A,-
Charles M'Mombwa,14/03/1998 (25),,"1,74 m",N/A,N/A,€300k
Mudathir Yahya,06/05/1996 (27),,"1,76 m",N/A,N/A,€125k
Feisal Salum,11/01/1998 (25),,"1,78 m",N/A,N/A,€75k
Mo Sagaf,12/11/1997 (26),,"1,78 m",N/A,N/A,-
Mzamiru Yassin,03/01/1996 (27),,"1,69 m",N/A,N/A,-
Ben Starkie,23/07/2002 (21),,"1,78 m",N/A,N/A,-
Sospeter Bajana,14/10/1996 (27),,"1,64 m",N/A,N/A,-
Hussein Semfuko,17/05/2004 (19),,N/A,N/A,N/A,-
Haji Mnoga,16/04/2002 (21),,"1,90 m",N/A,N/A,€100k
Twariq Yusuf,30/10/2000 (23),,"1,83 m",N/A,N/A,-
Morice Abraham,13/08/2003 (20),,"1,70 m",N/A,N/A,€100k
Yahya Zayd,10/03/1998 (25),,"1,77 m",N/A,N/A,-
Tarryn Allarakhia,17/10/1997 (26),,"1,75 m",N/A,N/A,-
Iddy Seleman Nado,03/11/1995 (28),,N/A,N/A,N/A,-
Abdul Hamisi Suleiman,26/02/2001 (22),,N/A,N/A,N/A,-
Denis Kibu,04/12/1998 (25),,"1,75 m",N/A,N/A,-
Edwin Balua,08/08/2001 (22),,"1,77 m",N/A,N/A,-
Ally Samatta,23/12/1992 (31),,"1,83 m",N/A,N/A,€2.50m
Simon Msuva,02/10/1993 (30),,"1,75 m",N/A,N/A,€500k
Kelvin John,10/06/2003 (20),,"1,75 m",N/A,N/A,€400k
Nassor Saadun,23/03/2001 (22),,N/A,N/A,N/A,-
Ismail Mohamed Mgunda,04/08/1995 (28),,"1,84 m",N/A,N/A,-
Clement Mzize,07/01/2004 (19),,"1,83 m",N/A,N/A,-
Cyprian Kachwele,15/02/2005 (18),,"1,90 m",N/A,N/A,-
Waziri Shentembo,11/08/1997 (26),,"1,79 m",N/A,N/A,-
Ibrahim Ahmada,03/07/1995 (28),,N/A,N/A,N/A,-
Selemani Mwalimu,19/01/2006 (17),,"1,78 m",N/A,N/A,-
