name,age,position,height,foot,debut,market_value
Bechir Ben Said,29/11/1992 (31),,"1,94 m",N/A,N/A,€1.00m
Aymen Dahmen,28/01/1997 (26),,"1,88 m",N/A,N/A,€800k
Moez Ben Cherifia,24/06/1991 (32),,"1,82 m",N/A,N/A,€600k
Mouez Hassen,05/03/1995 (28),,"1,86 m",N/A,N/A,€600k
Ali Jemal,09/06/1990 (33),,"1,92 m",N/A,N/A,€550k
Amanallah Memmiche,20/04/2004 (19),,"1,91 m",N/A,N/A,€450k
Sabri Ben Hessen,13/06/1996 (27),,"1,89 m",N/A,N/A,€200k
Montassar Talbi,26/05/1998 (25),,"1,90 m",N/A,N/A,€8.00m
Yassine Meriah,02/07/1993 (30),,"1,88 m",N/A,N/A,€1.80m
Dylan Bronn,19/06/1995 (28),,"1,85 m",N/A,N/A,€1.50m
Alaa Ghram,24/07/2001 (22),,"1,90 m",N/A,N/A,€1.20m
Hamza Mathlouthi,25/07/1992 (31),,"1,84 m",N/A,N/A,€600k
Nader Ghandri,18/02/1995 (28),,"1,97 m",N/A,N/A,€600k
Oussama Haddadi,28/01/1992 (31),,"1,85 m",N/A,N/A,€600k
Hamza Jelassi,29/09/1991 (32),,"1,89 m",N/A,N/A,€550k
Ali Abdi,20/12/1993 (30),,"1,83 m",N/A,N/A,€1.50m
Ali Maâloul,01/01/1990 (33),,"1,75 m",N/A,N/A,€1.20m
Mohamed Amine Ben Hamida,15/12/1995 (28),,"1,81 m",N/A,N/A,€600k
Houssem Ben Ali,10/06/1996 (27),,"1,74 m",N/A,N/A,€400k
Yan Valery,22/02/1999 (24),,"1,85 m",N/A,N/A,€2.00m
Wajdi Kechrida,05/11/1995 (28),,"1,77 m",N/A,N/A,€800k
Raed Bouchniba,25/09/2003 (20),,"1,82 m",N/A,N/A,€550k
Ghaith Zaalouni,06/05/2002 (21),,"1,81 m",N/A,N/A,€450k
Mahmoud Ghorbel,31/12/2003 (20),,"1,83 m",N/A,N/A,€400k
Ellyes Skhiri,10/05/1995 (28),,"1,85 m",N/A,N/A,€13.00m
Mohamed Belhadj Mahmoud,24/04/2000 (23),,"1,79 m",N/A,N/A,€1.00m
Aïssa Laïdouni,13/12/1996 (27),,"1,84 m",N/A,N/A,€10.00m
Anis Slimane,16/03/2001 (22),,"1,88 m",N/A,N/A,€2.50m
Mohamed Ali Ben Romdhane,06/09/1999 (24),,"1,85 m",N/A,N/A,€2.50m
Hamza Rafia,02/04/1999 (24),,"1,81 m",N/A,N/A,€1.50m
Ferjani Sassi,18/03/1992 (31),,"1,85 m",N/A,N/A,€1.50m
Houssem Tka,16/08/2000 (23),,"1,75 m",N/A,N/A,€850k
Ghaylen Chaalali,28/02/1994 (29),,"1,79 m",N/A,N/A,€750k
Moataz Zemzemi,07/08/1999 (24),,"1,86 m",N/A,N/A,€500k
Mootez Zaddem,05/01/2001 (22),,"1,85 m",N/A,N/A,€500k
Idris El Mizouni,26/09/2000 (23),,"1,85 m",N/A,N/A,€400k
Samy Chouchane,05/09/2003 (20),,"1,80 m",N/A,N/A,€250k
Amin Cherni,07/07/2001 (22),,"1,81 m",N/A,N/A,€1.00m
Hannibal,21/01/2003 (20),,"1,83 m",N/A,N/A,€12.00m
Faissal Mannai,03/02/1996 (27),,"1,80 m",N/A,N/A,€1.00m
Wajdi Sahli,17/04/1997 (26),,"1,83 m",N/A,N/A,€200k
Naïm Sliti,27/07/1992 (31),,"1,73 m",N/A,N/A,€4.50m
Elias Achouri,10/02/1999 (24),,"1,77 m",N/A,N/A,€2.50m
Elias Saad,27/12/1999 (24),,"1,85 m",N/A,N/A,€2.00m
Mortadha Ben Ouanes,02/07/1994 (29),,"1,82 m",N/A,N/A,€1.50m
Sayfallah Ltaief,22/04/2000 (23),,"1,78 m",N/A,N/A,€1.00m
Youssef Msakni,28/10/1990 (33),,"1,79 m",N/A,N/A,€900k
Hamza Khadhraoui,16/01/1999 (24),,"1,76 m",N/A,N/A,€700k
Bilel Aït Malek,19/08/1996 (27),,"1,74 m",N/A,N/A,€350k
Rabii Hamri,26/12/1995 (28),,"1,84 m",N/A,N/A,€50k
Amor Layouni,03/10/1992 (31),,"1,91 m",N/A,N/A,€900k
Bilel Mejri,06/02/1996 (27),,"1,79 m",N/A,N/A,€700k
Raki Aouani,11/09/2004 (19),,"1,79 m",N/A,N/A,€600k
Bassem Srarfi,25/06/1997 (26),,"1,76 m",N/A,N/A,€500k
Anas Haj Mohamed,26/03/2005 (18),,"1,74 m",N/A,08/09/2025,€200k
Seifeddine Jaziri,11/02/1993 (30),,"1,80 m",N/A,N/A,€1.00m
Haythem Jouini,07/05/1993 (30),,"1,85 m",N/A,N/A,€800k
Taha Yassine Khenissi,06/01/1992 (31),,"1,80 m",N/A,N/A,€600k
Ali Youssef,05/08/2000 (23),,"1,82 m",N/A,N/A,€400k
Nabil Makni,29/09/2001 (22),,"1,84 m",N/A,N/A,€75k
Hazem Mastouri,18/06/1997 (26),,"1,91 m",N/A,N/A,-
