name,age,position,height,foot,debut,market_value
Ismail Watenga,15/05/1995 (28),,N/A,N/A,N/A,€275k
Giosue Bellagambi,08/11/2001 (22),,"1,89 m",N/A,N/A,€75k
Charles Lukwago,11/12/1993 (30),,N/A,N/A,N/A,-
Tom Ikara,12/02/1997 (26),,N/A,N/A,N/A,-
Jack Komakech,31/07/2002 (21),,"1,83 m",N/A,N/A,-
Nafian Alionzi,01/03/1996 (27),,"1,79 m",N/A,N/A,-
Chrispas Kusiima,10/04/1993 (30),,"1,75 m",N/A,N/A,-
Toby Sibbick,23/05/1999 (24),,"1,89 m",N/A,N/A,€650k
Elio Capradossi,11/03/1996 (27),,"1,85 m",N/A,N/A,€500k
Timothy Awany,06/08/1996 (27),,"1,83 m",N/A,N/A,€500k
Bevis Mugabi,01/05/1995 (28),,"1,87 m",N/A,N/A,€400k
Halid Lwaliwa,19/08/1998 (25),,"1,85 m",N/A,N/A,€350k
Elvis Bwomono,29/11/1998 (25),,"1,85 m",N/A,N/A,€75k
Gavin Kizito,14/01/2002 (21),,"1,74 m",N/A,N/A,€50k
Geoffery Wasswa,23/08/1996 (27),,N/A,N/A,N/A,-
Ronald Otti,06/12/2000 (23),,N/A,N/A,N/A,-
Arnold Odong,02/03/1999 (24),,N/A,N/A,N/A,-
Rogers Torach,23/06/2003 (20),,"1,89 m",N/A,N/A,-
Joseph Ochaya,14/12/1993 (30),,"1,88 m",N/A,N/A,€600k
Isaac Muleme,10/10/1992 (31),,"1,67 m",N/A,N/A,€175k
Aziz Kayondo,06/10/2002 (21),,"1,75 m",N/A,N/A,€50k
Umar Lutalo,15/12/2003 (20),,N/A,N/A,N/A,-
Nicholas Mwere,13/03/2001 (22),,"1,79 m",N/A,N/A,-
Denis Kaka Omony,23/10/1999 (24),,"1,72 m",N/A,N/A,-
Nathan Asiimwe,29/12/2004 (19),,"1,82 m",N/A,N/A,€125k
James Begisa,27/09/2002 (21),,N/A,N/A,N/A,-
Hudu Mulikyi,25/04/1995 (28),,N/A,N/A,N/A,-
Khalid Aucho,08/08/1993 (30),,"1,80 m",N/A,N/A,€250k
Taddeo Lwanga,21/05/1994 (29),,"1,82 m",N/A,N/A,€100k
Kenneth Semakula,04/11/2002 (21),,"1,80 m",N/A,N/A,-
Carl Mujaguzi,05/05/2000 (23),,"1,80 m",N/A,N/A,-
Joel Sserunjogi,16/06/2002 (21),,N/A,N/A,N/A,-
Ramz Kawooya,27/01/1999 (24),,"1,80 m",N/A,N/A,-
Bobosi Byaruhanga,03/12/2001 (22),,N/A,N/A,N/A,-
Ashraf Mugume,16/11/1998 (25),,"1,71 m",N/A,N/A,-
Ronald Ssekiganda,13/09/1995 (28),,"1,95 m",N/A,N/A,-
Saidi Mayanja,12/08/2003 (20),,N/A,N/A,N/A,-
Allan Okello,04/07/2000 (23),,"1,79 m",N/A,N/A,€300k
Karim Watambala,03/03/2000 (23),,"1,65 m",N/A,N/A,-
Ibrahim Kasule,17/02/2004 (19),,N/A,N/A,N/A,-
Travis Mutyaba,07/08/2005 (18),,"1,59 m",N/A,N/A,-
Laban Tibiita,14/04/1998 (25),,N/A,N/A,N/A,-
Arafati Usama,27/06/2004 (19),,N/A,N/A,N/A,-
Allan Oyirwoth,23/01/2007 (16),,"1,85 m",N/A,N/A,-
Calvin Kabuye,28/03/2003 (20),,"1,83 m",N/A,N/A,€250k
Rogers Mato,(-),,"1,82 m",N/A,N/A,€100k
Derrick Nsibambi,19/06/1994 (29),,"1,74 m",N/A,N/A,-
Hakim Kiwanuka,11/09/2000 (23),,N/A,N/A,N/A,-
Moses Aliro,09/02/1996 (27),,N/A,N/A,N/A,-
Patrick Kakande,25/04/2003 (20),,N/A,N/A,N/A,-
Moses Opondo,28/10/1997 (26),,"1,73 m",N/A,N/A,€350k
Milton Karisa,27/07/1995 (28),,"1,75 m",N/A,N/A,€300k
Joackiam Ojera,25/12/1997 (26),,"1,86 m",N/A,N/A,-
Shafik Nana Kwikiriza,03/03/2004 (19),,N/A,N/A,N/A,-
Fahad Bayo,10/05/1998 (25),,"1,85 m",N/A,N/A,€200k
Steven Mukwala,15/07/1999 (24),,"1,76 m",N/A,N/A,€175k
John Paul Dembe,03/07/2005 (18),,"1,91 m",N/A,N/A,€125k
Muhammad Shaban,01/01/1997 (26),,N/A,N/A,N/A,-
Nelson Senkatuka,10/09/1997 (26),,"1,79 m",N/A,N/A,-
Denis Omedi,13/06/1994 (29),,N/A,N/A,N/A,-
Alex Kitata,09/01/1992 (31),,N/A,N/A,N/A,-
Shafic Kakande,17/07/2003 (20),,N/A,N/A,N/A,-
Jude Ssemugabi,03/03/1997 (26),,N/A,N/A,N/A,-
