name,age,position,height,foot,debut,market_value
Toaster Nsabata,24/11/1993 (30),,"1,85 m",N/A,N/A,€550k
Lawrence Mulenga,21/08/1998 (25),,N/A,N/A,N/A,-
Charles Kalumba,21/01/1996 (27),,N/A,N/A,N/A,-
Victor Chabu,22/02/1994 (29),,N/A,N/A,N/A,-
Francis Mwansa,14/07/2002 (21),,N/A,N/A,N/A,-
Frankie Musonda,12/12/1997 (26),,"1,83 m",N/A,N/A,€275k
Stoppila Sunzu,22/06/1989 (34),,"1,92 m",N/A,N/A,€125k
Gift Prosper Mphande,19/11/2003 (20),,"1,93 m",N/A,N/A,€125k
Kabaso Chongo,11/02/1992 (31),,"1,79 m",N/A,N/A,€100k
Kebson Kamanga,16/06/1997 (26),,"1,90 m",N/A,N/A,-
Tandi Mwape,20/07/1996 (27),,"1,80 m",N/A,N/A,-
Dominic Chanda,26/02/1996 (27),,"1,85 m",N/A,N/A,-
Lubambo Musonda,01/03/1995 (28),,"1,71 m",N/A,N/A,€450k
Rodrick Kabwe,30/11/1992 (31),,"1,74 m",N/A,N/A,€350k
Peter Kalota,23/08/1999 (24),,"1,91 m",N/A,N/A,-
Zakaria Chilongoshi,27/10/1999 (24),,"1,74 m",N/A,N/A,-
John Soko,28/04/1996 (27),,N/A,N/A,N/A,-
David Bulaya,(-),,N/A,N/A,N/A,-
Benedict Chepeshi,10/06/1996 (27),,N/A,N/A,N/A,-
Killian Kanguluma,16/12/1999 (24),,N/A,N/A,N/A,-
Zephaniah Phiri,19/11/1996 (27),,N/A,N/A,N/A,-
Miguel Chaiwa,07/06/2004 (19),,"1,79 m",N/A,N/A,€1.00m
Benson Sakala,12/09/1996 (27),,"1,85 m",N/A,N/A,€300k
Golden Mafwenta,15/01/2001 (22),,"1,78 m",N/A,N/A,€250k
Kelvin Kapumbu,06/04/1996 (27),,"1,78 m",N/A,N/A,-
Kings Kangwa,06/04/1999 (24),,"1,70 m",N/A,N/A,€1.50m
Emmanuel Banda,29/09/1997 (26),,"1,78 m",N/A,N/A,€900k
Larry Bwalya,29/05/1995 (28),,"1,77 m",N/A,N/A,€250k
Obino Chisala,14/09/1999 (24),,N/A,N/A,N/A,-
Chipyoka Songa,24/09/2004 (19),,N/A,N/A,N/A,€250k
Clatous Chama,18/06/1991 (32),,"1,73 m",N/A,N/A,€175k
Kelvin Kampamba,24/11/1996 (27),,"1,70 m",N/A,N/A,-
Lameck Banda,29/01/2001 (22),,"1,69 m",N/A,N/A,€6.00m
Evans Kangwa,09/10/1992 (31),,"1,75 m",N/A,N/A,€500k
Joseph Sabobo,17/12/2005 (18),,"1,67 m",N/A,N/A,-
Golden Mashata,29/01/2001 (22),,N/A,N/A,N/A,-
Edward Chilufya,17/09/1999 (24),,"1,78 m",N/A,N/A,€2.00m
Ghampani Lungu,19/09/1998 (25),,"1,83 m",N/A,N/A,€900k
Joshua Mutale,24/01/2002 (21),,"1,65 m",N/A,N/A,-
Frederick Mulambia,10/07/2002 (21),,"1,75 m",N/A,N/A,-
Jackson Kampamba,01/08/2003 (20),,N/A,N/A,N/A,-
Patson Daka,09/10/1998 (25),,"1,83 m",N/A,N/A,€14.00m
Fashion Sakala,14/03/1997 (26),,"1,78 m",N/A,N/A,€5.00m
Francisco Mwepu,29/02/2000 (23),,"1,78 m",N/A,N/A,€300k
Kennedy Musonda,22/12/1994 (29),,"1,76 m",N/A,N/A,-
Jimmy Mukeya,23/02/2002 (21),,N/A,N/A,N/A,-
Abraham Siankombo,03/03/1998 (25),,"1,72 m",N/A,N/A,-
Ricky Banda,03/03/2001 (22),,"1,86 m",N/A,N/A,-
Kingstone Mutandwa,05/01/2003 (20),,"1,80 m",N/A,N/A,-
Andrew Phiri,21/05/2001 (22),,N/A,N/A,N/A,-
