name,age,position,height,foot,debut,market_value
Washington Arubi,29/08/1985 (38),,"1,80 m",N/A,N/A,€50k
Martin Mapisa,25/05/1998 (25),,"1,95 m",N/A,N/A,€25k
Bernard Donovan,12/07/1995 (28),,"1,80 m",N/A,N/A,-
Marley Tavaziva,17/12/2004 (19),,"1,85 m",N/A,N/A,-
Godfrey Chitsumba,18/09/1998 (25),,N/A,N/A,N/A,-
Farai Banda,12/05/1993 (30),,N/A,N/A,N/A,-
Teenage Hadebe,17/09/1995 (28),,"1,89 m",N/A,N/A,€2.00m
Munashe Garananga,18/01/2001 (22),,"1,86 m",N/A,N/A,€550k
Brendan Galloway,17/03/1996 (27),,"1,86 m",N/A,N/A,€350k
Gerald Takwara,29/10/1994 (29),,"1,83 m",N/A,N/A,€100k
Peter Muduhwa,11/08/1993 (30),,N/A,N/A,N/A,-
Kevin Moyo,03/04/1993 (30),,N/A,N/A,N/A,-
Shane Maroodza,18/05/2004 (19),,"1,91 m",N/A,N/A,-
Andrew Mbeba,19/02/2000 (23),,"1,91 m",N/A,N/A,-
Jordan Zemura,14/11/1999 (24),,"1,73 m",N/A,N/A,€6.00m
Divine Lunga,25/05/1995 (28),,"1,79 m",N/A,N/A,€1.00m
Godknows Murwira,04/07/1993 (30),,N/A,N/A,N/A,-
Emmanuel Jalai,06/01/1999 (24),,N/A,N/A,N/A,-
Marvelous Nakamba,19/01/1994 (29),,"1,77 m",N/A,N/A,€5.00m
Tivonge Rushesha,24/07/2002 (21),,"1,74 m",N/A,N/A,€150k
Junior Makunike,11/02/2004 (19),,N/A,N/A,N/A,-
Marshall Munetsi,22/06/1996 (27),,"1,88 m",N/A,N/A,€12.00m
Andy Rinomhota,21/04/1997 (26),,"1,75 m",N/A,N/A,€1.00m
Richard Hachiro,27/01/1998 (25),,N/A,N/A,N/A,-
Brian Banda,09/09/1995 (28),,"1,80 m",N/A,N/A,-
Joey Phuthi,02/01/2005 (18),,"1,73 m",N/A,N/A,-
Tawanda Chirewa,12/10/2003 (20),,"1,81 m",N/A,N/A,€100k
Walter Musona,12/12/1995 (28),,N/A,N/A,N/A,-
Obriel Chirinda,28/01/1997 (26),,"1,63 m",N/A,N/A,-
Tawanda Maswanhise,20/11/2002 (21),,"1,80 m",N/A,N/A,-
Daniel Msendami,24/10/2000 (23),,N/A,N/A,N/A,-
Khama Billiat,19/08/1990 (33),,"1,70 m",N/A,N/A,€400k
Tino Kadewere,05/01/1996 (27),,"1,83 m",N/A,N/A,€2.50m
Terrence Dzvukamanja,05/05/1994 (29),,"1,73 m",N/A,N/A,€550k
Macauley Bonne,26/10/1995 (28),,"1,80 m",N/A,N/A,€350k
Prince Dube,17/02/1997 (26),,"1,83 m",N/A,N/A,€100k
Douglas Mapfumo,01/03/2000 (23),,N/A,N/A,N/A,€25k
Tymon Machope,03/07/1993 (30),,"1,90 m",N/A,N/A,-
