team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Hervé Koffi,https://www.transfermarkt.com/herve-koffi/profil/spieler/415383,16,Hervé Koffi Goalkeeper,Hervé Koffi,"1,86 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Hillel Konaté,https://www.transfermarkt.com/hillel-konate/profil/spieler/170549,4,Hillel Konaté Goalkeeper,Hillel Konaté,"1,82 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Kilian Nikièma,https://www.transfermarkt.com/kilian-nikiema/profil/spieler/559319,8,Kilian Nikièma Goalkeeper,Kilian Nikièma,"1,88 m",Left,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Farid Ouédraogo,https://www.transfermarkt.com/farid-ouedraogo/profil/spieler/724425,10,Farid Ouédraogo Goalkeeper,Farid Ouédraogo,"1,85 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Sébastien Koula Tou,https://www.transfermarkt.com/sebastien-koula-tou/profil/spieler/864093,1,Sébastien Koula Tou Goalkeeper,Sébastien Koula Tou,"1,89 m",N/A,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Mohamed Zegue Traore,https://www.transfermarkt.com/mohamed-zegue-traore/profil/spieler/649451,1,Mohamed Zegue Traore Goalkeeper,Mohamed Zegue Traore,"1,91 m",N/A,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Philippe Mare,https://www.transfermarkt.com/philippe-mare/profil/spieler/1173043,N/A,Philippe Mare Goalkeeper,Philippe Mare,"1,95 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Nampé Salifou Coulibaly,https://www.transfermarkt.com/nampe-salifou-coulibaly/profil/spieler/1272643,N/A,Nampé Salifou Coulibaly Goalkeeper,Nampé Salifou Coulibaly,"1,90 m",N/A,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Edmond Tapsoba,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545,57,N/A,Edmond Tapsoba,"1,94 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Adamo Nagalo,https://www.transfermarkt.com/adamo-nagalo/profil/spieler/800976,18,N/A,Adamo Nagalo,"1,88 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Issoufou Dayo,https://www.transfermarkt.com/issoufou-dayo/profil/spieler/326150,79,N/A,Issoufou Dayo,"1,87 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Nasser Djiga,https://www.transfermarkt.com/nasser-djiga/profil/spieler/862297,11,N/A,Nasser Djiga,"1,92 m",Right,N/A
Burkina Faso - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/burkina-faso/kader/verein/5872/saison_id/2024/plus/1,Saïdou Simporé,https://www.transfermarkt.com/saidou-simpore/profil/spieler/373696,15,N/A,Saïdou Simporé,"1,79 m",Right,N/A
