team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,André Onana,https://www.transfermarkt.com/andre-onana/profil/spieler/234509,53,André Onana Goalkeeper,André Onana,"1,90 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Devis Epassy,https://www.transfermarkt.com/devis-epassy/profil/spieler/170471,10,Devis Epassy Goalkeeper,Devis Epassy,"1,89 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Simon Omossola,https://www.transfermarkt.com/simon-omossola/profil/spieler/490769,3,Simon Omossola Goalkeeper,Simon Omossola,"1,89 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Fabrice Ondoa,https://www.transfermarkt.com/fabrice-ondoa/profil/spieler/220999,53,Fabrice Ondoa Goalkeeper,Fabrice Ondoa,"1,85 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Simon Ngapandouetnbu,https://www.transfermarkt.com/simon-ngapandouetnbu/profil/spieler/696600,N/A,Simon Ngapandouetnbu Goalkeeper,Simon Ngapandouetnbu,"1,86 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Christopher Wooh,https://www.transfermarkt.com/christopher-wooh/profil/spieler/572326,22,N/A,Christopher Wooh,"1,91 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Harold Moukoudi,https://www.transfermarkt.com/harold-moukoudi/profil/spieler/272636,18,N/A,Harold Moukoudi,"1,91 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Jean-Charles Castelletto,https://www.transfermarkt.com/jean-charles-castelletto/profil/spieler/182875,35,N/A,Jean-Charles Castelletto,"1,86 m",Both,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Oumar Gonzalez,https://www.transfermarkt.com/oumar-gonzalez/profil/spieler/388795,9,N/A,Oumar Gonzalez,"1,86 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Malcom Bokele,https://www.transfermarkt.com/malcom-bokele/profil/spieler/647787,3,N/A,Malcom Bokele,"1,89 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Enzo Boyomo,https://www.transfermarkt.com/enzo-boyomo/profil/spieler/541555,6,N/A,Enzo Boyomo,"1,84 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Guy-Marcelin Kilama,https://www.transfermarkt.com/guy-marcelin-kilama/profil/spieler/604777,5,N/A,Guy-Marcelin Kilama,"1,82 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Michael Ngadeu,https://www.transfermarkt.com/michael-ngadeu/profil/spieler/227239,62,N/A,Michael Ngadeu,"1,90 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,James Ndjeungoue,https://www.transfermarkt.com/james-ndjeungoue/profil/spieler/1040824,2,N/A,James Ndjeungoue,"1,86 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Nouhou,https://www.transfermarkt.com/nouhou/profil/spieler/436332,43,N/A,Nouhou,"1,78 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Darlin Yongwa,https://www.transfermarkt.com/darlin-yongwa/profil/spieler/717118,8,N/A,Darlin Yongwa,"1,77 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Yvan Dibango,https://www.transfermarkt.com/yvan-dibango/profil/spieler/863919,N/A,N/A,Yvan Dibango,"1,84 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Jackson Tchatchoua,https://www.transfermarkt.com/jackson-tchatchoua/profil/spieler/848509,14,N/A,Jackson Tchatchoua,"1,80 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Enzo Tchato,https://www.transfermarkt.com/enzo-tchato/profil/spieler/842338,5,N/A,Enzo Tchato,"1,82 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Junior Tchamadeu,https://www.transfermarkt.com/junior-tchamadeu/profil/spieler/851991,5,N/A,Junior Tchamadeu,"1,80 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Collins Fai,https://www.transfermarkt.com/collins-fai/profil/spieler/250638,56,N/A,Collins Fai,"1,65 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Carlos Baleba,https://www.transfermarkt.com/carlos-baleba/profil/spieler/973085,11,N/A,Carlos Baleba,"1,79 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Martin Hongla,https://www.transfermarkt.com/martin-hongla/profil/spieler/398808,35,N/A,Martin Hongla,"1,82 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Yvan Neyou,https://www.transfermarkt.com/yvan-neyou/profil/spieler/469669,11,N/A,Yvan Neyou,"1,80 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Wilitty Younoussa,https://www.transfermarkt.com/wilitty-younoussa/profil/spieler/804934,2,N/A,Wilitty Younoussa,"1,74 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Martin Ndzie,https://www.transfermarkt.com/martin-ndzie/profil/spieler/976234,3,N/A,Martin Ndzie,"1,88 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Frank Anguissa,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361,66,N/A,Frank Anguissa,"1,84 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Olivier Ntcham,https://www.transfermarkt.com/olivier-ntcham/profil/spieler/224088,16,N/A,Olivier Ntcham,"1,80 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Olivier Kemen,https://www.transfermarkt.com/olivier-kemen/profil/spieler/243725,7,N/A,Olivier Kemen,"1,79 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Pierre Kunde,https://www.transfermarkt.com/pierre-kunde/profil/spieler/339829,44,N/A,Pierre Kunde,"1,81 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Ben Elliott,https://www.transfermarkt.com/ben-elliott/profil/spieler/503979,5,N/A,Ben Elliott,N/A,Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Boris Enow,https://www.transfermarkt.com/boris-enow/profil/spieler/624829,1,N/A,Boris Enow,"1,80 m",Left,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Arthur Avom,https://www.transfermarkt.com/arthur-avom/profil/spieler/1074628,8,N/A,Arthur Avom,"1,73 m",Right,N/A
Cameroon - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/cameroon/kader/verein/3434/saison_id/2024/plus/1,Georges-Kevin N'Koudou,https://www.transfermarkt.com/georges-kevin-nkoudou/profil/spieler/215679,N/A,N/A,Georges-Kevin N'Koudou,"1,72 m",Left,N/A
