team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Dimitry Bertaud,https://www.transfermarkt.com/dimitry-bertaud/profil/spieler/371816,15,Dimitry Bertaud Goalkeeper,Dimitry Bertaud,"1,83 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Timothy Fayulu,https://www.transfermarkt.com/timothy-fayulu/profil/spieler/541420,2,Timothy Fayulu Goalkeeper,Timothy Fayulu,"1,92 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Lionel Mpasi-Nzau,https://www.transfermarkt.com/lionel-mpasi-nzau/profil/spieler/164915,21,Lionel Mpasi-Nzau Goalkeeper,Lionel Mpasi-Nzau,"1,82 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Baggio Siadi,https://www.transfermarkt.com/baggio-siadi/profil/spieler/740175,11,Baggio Siadi Goalkeeper,Baggio Siadi,"1,80 m",Left,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Brudel Efonge,https://www.transfermarkt.com/brudel-efonge/profil/spieler/914777,4,Brudel Efonge Goalkeeper,Brudel Efonge,N/A,N/A,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Esdras Kabamba,https://www.transfermarkt.com/esdras-kabamba/profil/spieler/1142557,N/A,Esdras Kabamba Goalkeeper,Esdras Kabamba,N/A,N/A,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Chancel Mbemba,https://www.transfermarkt.com/chancel-mbemba/profil/spieler/203348,99,N/A,Chancel Mbemba,"1,82 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,7,N/A,Axel Tuanzebe,"1,85 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Dylan Batubinsika,https://www.transfermarkt.com/dylan-batubinsika/profil/spieler/289432,15,N/A,Dylan Batubinsika,"1,85 m",Right,N/A
Democratic Republic of the Congo - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/democratic-republic-of-the-congo/kader/verein/3854/saison_id/2024/plus/1,Rocky Bushiri,https://www.transfermarkt.com/rocky-bushiri/profil/spieler/511802,5,N/A,Rocky Bushiri,"1,87 m",Right,N/A
