team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed El Shenawy,https://www.transfermarkt.com/mohamed-el-shenawy/profil/spieler/134573,68,Mohamed El Shenawy Goalkeeper,Mohamed El Shenawy,"1,91 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ahmed El Shenawy,https://www.transfermarkt.com/ahmed-el-shenawy/profil/spieler/124578,29,Ahmed El Shenawy Goalkeeper,Ahmed El Shenawy,"1,88 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Gabaski,https://www.transfermarkt.com/gabaski/profil/spieler/111538,14,Gabaski Goalkeeper,Gabaski,"1,96 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Sobhi,https://www.transfermarkt.com/mohamed-sobhi/profil/spieler/583889,6,Mohamed Sobhi Goalkeeper,Mohamed Sobhi,"1,85 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Awad,https://www.transfermarkt.com/mohamed-awad/profil/spieler/184818,3,Mohamed Awad Goalkeeper,Mohamed Awad,"1,84 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,El Mahdi Soliman,https://www.transfermarkt.com/el-mahdi-soliman/profil/spieler/104951,N/A,El Mahdi Soliman Goalkeeper,El Mahdi Soliman,"1,89 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Oufa Shobeir,https://www.transfermarkt.com/oufa-shobeir/profil/spieler/661455,3,Oufa Shobeir Goalkeeper,Oufa Shobeir,"1,85 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Abdelmonem,https://www.transfermarkt.com/mohamed-abdelmonem/profil/spieler/566025,33,N/A,Mohamed Abdelmonem,"1,83 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ahmed Hegazy,https://www.transfermarkt.com/ahmed-hegazy/profil/spieler/111524,88,N/A,Ahmed Hegazy,"1,93 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ali Gabr,https://www.transfermarkt.com/ali-gabr/profil/spieler/122980,40,N/A,Ali Gabr,"1,93 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Hossam Abdelmaguid,https://www.transfermarkt.com/hossam-abdelmaguid/profil/spieler/737524,5,N/A,Hossam Abdelmaguid,"1,93 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Yasser Ibrahim,https://www.transfermarkt.com/yasser-ibrahim/profil/spieler/237425,7,N/A,Yasser Ibrahim,"1,85 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ahmed Ramadan,https://www.transfermarkt.com/ahmed-ramadan/profil/spieler/403405,6,N/A,Ahmed Ramadan,"1,84 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ramy Rabia,https://www.transfermarkt.com/ramy-rabia/profil/spieler/172623,37,N/A,Ramy Rabia,"1,83 m",Right,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Khaled Sobhi,https://www.transfermarkt.com/khaled-sobhi/profil/spieler/372542,5,N/A,Khaled Sobhi,N/A,Left,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Rabia,https://www.transfermarkt.com/mohamed-rabia/profil/spieler/864537,2,N/A,Mohamed Rabia,N/A,Left,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Ahmed Fatouh,https://www.transfermarkt.com/ahmed-fatouh/profil/spieler/465966,30,N/A,Ahmed Fatouh,"1,78 m",Left,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Hamdi,https://www.transfermarkt.com/mohamed-hamdi/profil/spieler/369901,32,N/A,Mohamed Hamdi,"1,74 m",Left,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Shokry,https://www.transfermarkt.com/mohamed-shokry/profil/spieler/789002,1,N/A,Mohamed Shokry,"1,70 m",Left,N/A
Egypt - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/egypt/kader/verein/3672/saison_id/2024/plus/1,Mohamed Hany,https://www.transfermarkt.com/mohamed-hany/profil/spieler/343974,31,N/A,Mohamed Hany,"1,80 m",Right,N/A
