team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Yahia Fofana,https://www.transfermarkt.com/yahia-fofana/profil/spieler/418651,28,Yahia Fofana Goalkeeper,Yahia Fofana,"1,94 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Charles Folly,https://www.transfermarkt.com/charles-folly/profil/spieler/847238,8,Charles Folly Goalkeeper,Charles Folly,"1,90 m",N/A,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Badra Ali Sangaré,https://www.transfermarkt.com/badra-ali-sangare/profil/spieler/182313,30,Badra Ali Sangaré Goalkeeper,Badra Ali Sangaré,"1,81 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Mohamed Koné,https://www.transfermarkt.com/mohamed-kone/profil/spieler/911985,N/A,Mohamed Koné Goalkeeper,Mohamed Koné,"1,86 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Issa Fofana,https://www.transfermarkt.com/issa-fofana/profil/spieler/727508,N/A,Issa Fofana Goalkeeper,Issa Fofana,"1,90 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Ousmane Diomande,https://www.transfermarkt.com/ousmane-diomande/profil/spieler/974982,9,N/A,Ousmane Diomande,"1,90 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Odilon Kossounou,https://www.transfermarkt.com/odilon-kossounou/profil/spieler/644771,30,N/A,Odilon Kossounou,"1,91 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Evan Ndicka,https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149,22,N/A,Evan Ndicka,"1,92 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Abakar Sylla,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555,6,N/A,Abakar Sylla,"1,88 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Emmanuel Agbadou,https://www.transfermarkt.com/emmanuel-agbadou/profil/spieler/683895,17,N/A,Emmanuel Agbadou,"1,92 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Sinaly Diomandé,https://www.transfermarkt.com/sinaly-diomande/profil/spieler/702441,11,N/A,Sinaly Diomandé,"1,84 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Eric Bailly,https://www.transfermarkt.com/eric-bailly/profil/spieler/286384,49,N/A,Eric Bailly,"1,87 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Willy Boly,https://www.transfermarkt.com/willy-boly/profil/spieler/142310,23,N/A,Willy Boly,"1,95 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Cédric Kipré,https://www.transfermarkt.com/cedric-kipre/profil/spieler/364827,1,N/A,Cédric Kipré,"1,93 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Ghislain Konan,https://www.transfermarkt.com/ghislain-konan/profil/spieler/422850,46,N/A,Ghislain Konan,"1,76 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Hassane Kamara,https://www.transfermarkt.com/hassane-kamara/profil/spieler/290017,11,N/A,Hassane Kamara,"1,70 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Christopher Operi,https://www.transfermarkt.com/christopher-operi/profil/spieler/469976,10,N/A,Christopher Operi,"1,83 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Ismaël Diallo,https://www.transfermarkt.com/ismael-diallo/profil/spieler/375881,3,N/A,Ismaël Diallo,"1,78 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Wilfried Singo,https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779,30,N/A,Wilfried Singo,"1,90 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Serge Aurier,https://www.transfermarkt.com/serge-aurier/profil/spieler/127032,93,N/A,Serge Aurier,"1,76 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Guéla Doué,https://www.transfermarkt.com/guela-doue/profil/spieler/711980,12,N/A,Guéla Doué,"1,87 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Ibrahim Sangaré,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885,48,N/A,Ibrahim Sangaré,"1,91 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Jean-Eudes Aholou,https://www.transfermarkt.com/jean-eudes-aholou/profil/spieler/178313,7,N/A,Jean-Eudes Aholou,"1,86 m",Left,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Idrissa Doumbia,https://www.transfermarkt.com/idrissa-doumbia/profil/spieler/430579,4,N/A,Idrissa Doumbia,"1,87 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Jean Michaël Seri,https://www.transfermarkt.com/jean-michael-seri/profil/spieler/178614,60,N/A,Jean Michaël Seri,"1,68 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Kader Keita,https://www.transfermarkt.com/kader-keita/profil/spieler/658835,1,N/A,Kader Keita,"1,78 m",Right,N/A
Ivory Coast - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/ivory-coast/kader/verein/3591/saison_id/2024/plus/1,Seko Fofana,https://www.transfermarkt.com/seko-fofana/profil/spieler/182893,26,N/A,Seko Fofana,"1,85 m",Right,N/A
