team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Ismael Diawara,https://www.transfermarkt.com/ismael-diawara/profil/spieler/322107,10,Ismael Diawara Goalkeeper,Ismael Diawara,"1,94 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Mamadou Samassa,https://www.transfermarkt.com/mamadou-samassa/profil/spieler/72422,18,Mamadou Samassa Goalkeeper,Mamadou Samassa,"1,98 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Djigui Diarra,https://www.transfermarkt.com/djigui-diarra/profil/spieler/372230,61,Djigui Diarra Goalkeeper,Djigui Diarra,N/A,Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Youssouf Koita,https://www.transfermarkt.com/youssouf-koita/profil/spieler/543373,N/A,Youssouf Koita Goalkeeper,Youssouf Koita,"1,87 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Aboubacar Doumbia,https://www.transfermarkt.com/aboubacar-doumbia/profil/spieler/725040,N/A,Aboubacar Doumbia Goalkeeper,Aboubacar Doumbia,N/A,N/A,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,N'Golo Traoré,https://www.transfermarkt.com/ngolo-traore/profil/spieler/961967,22,N'Golo Traoré Goalkeeper,N'Golo Traoré,N/A,N/A,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Kiki Kouyaté,https://www.transfermarkt.com/kiki-kouyate/profil/spieler/211637,36,N/A,Kiki Kouyaté,"1,92 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Sikou Niakaté,https://www.transfermarkt.com/sikou-niakate/profil/spieler/413118,14,N/A,Sikou Niakaté,"1,86 m",Left,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Modibo Sagnan,https://www.transfermarkt.com/modibo-sagnan/profil/spieler/524925,4,N/A,Modibo Sagnan,"1,87 m",Left,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Mamadou Fofana,https://www.transfermarkt.com/mamadou-fofana/profil/spieler/402004,48,N/A,Mamadou Fofana,"1,86 m",Both,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Moussa Diarra,https://www.transfermarkt.com/moussa-diarra/profil/spieler/694509,5,N/A,Moussa Diarra,"1,85 m",Left,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Check Keita,https://www.transfermarkt.com/check-keita/profil/spieler/820146,1,N/A,Check Keita,"1,85 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Abdoulaye Diaby,https://www.transfermarkt.com/abdoulaye-diaby/profil/spieler/543379,9,N/A,Abdoulaye Diaby,"1,98 m",Right,N/A
Mali - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/mali/kader/verein/3674/saison_id/2024/plus/1,Ibrahima Cissé,https://www.transfermarkt.com/ibrahima-cisse/profil/spieler/684340,2,N/A,Ibrahima Cissé,"1,96 m",Right,N/A
