team,team_url,name,profile_url,age,position,market_value,height,foot,debut
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Maduka Okoye,https://www.transfermarkt.com/maduka-okoye/profil/spieler/340353,18,Maduka Okoye Goalkeeper,Maduka Okoye,"1,98 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Francis Uzoho,https://www.transfermarkt.com/francis-uzoho/profil/spieler/295360,35,Francis Uzoho Goalkeeper,Francis Uzoho,"1,96 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Stanley Nwabali,https://www.transfermarkt.com/stanley-nwabali/profil/spieler/677856,27,Stanley Nwabali Goalkeeper,Stanley Nwabali,"1,96 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Olorunleke Ojo,https://www.transfermarkt.com/olorunleke-ojo/profil/spieler/364302,N/A,Olorunleke Ojo Goalkeeper,Olorunleke Ojo,"1,90 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Amas Obasogie,https://www.transfermarkt.com/amas-obasogie/profil/spieler/682609,N/A,Amas Obasogie Goalkeeper,Amas Obasogie,"1,83 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Calvin Bassey,https://www.transfermarkt.com/calvin-bassey/profil/spieler/461883,37,N/A,Calvin Bassey,"1,85 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Chidozie Awaziem,https://www.transfermarkt.com/chidozie-awaziem/profil/spieler/358143,35,N/A,Chidozie Awaziem,"1,89 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Kenneth Omeruo,https://www.transfermarkt.com/kenneth-omeruo/profil/spieler/131708,69,N/A,Kenneth Omeruo,"1,85 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,William Troost-Ekong,https://www.transfermarkt.com/william-troost-ekong/profil/spieler/192875,83,N/A,William Troost-Ekong,"1,91 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Semi Ajayi,https://www.transfermarkt.com/semi-ajayi/profil/spieler/251912,46,N/A,Semi Ajayi,"1,93 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Gabriel Osho,https://www.transfermarkt.com/gabriel-osho/profil/spieler/364409,2,N/A,Gabriel Osho,"1,85 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Olisa Ndah,https://www.transfermarkt.com/olisa-ndah/profil/spieler/680905,5,N/A,Olisa Ndah,"1,90 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Benjamin Tanimu,https://www.transfermarkt.com/benjamin-tanimu/profil/spieler/682847,3,N/A,Benjamin Tanimu,"1,85 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Victor Collins,https://www.transfermarkt.com/victor-collins/profil/spieler/986198,N/A,N/A,Victor Collins,"1,88 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Zaidu,https://www.transfermarkt.com/zaidu/profil/spieler/544784,26,N/A,Zaidu,"1,82 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Bruno Onyemaechi,https://www.transfermarkt.com/bruno-onyemaechi/profil/spieler/701325,20,N/A,Bruno Onyemaechi,"1,84 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Jamilu Collins,https://www.transfermarkt.com/jamilu-collins/profil/spieler/254934,30,N/A,Jamilu Collins,"1,83 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Kenneth Igboke,https://www.transfermarkt.com/kenneth-igboke/profil/spieler/1104250,N/A,N/A,Kenneth Igboke,"1,76 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Bright Osayi-Samuel,https://www.transfermarkt.com/bright-osayi-samuel/profil/spieler/358948,25,N/A,Bright Osayi-Samuel,"1,75 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Ola Aina,https://www.transfermarkt.com/ola-aina/profil/spieler/236490,48,N/A,Ola Aina,"1,84 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Sodiq Ismaila,https://www.transfermarkt.com/sodiq-ismaila/profil/spieler/944312,6,N/A,Sodiq Ismaila,"1,76 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Wilfred Ndidi,https://www.transfermarkt.com/wilfred-ndidi/profil/spieler/274839,71,N/A,Wilfred Ndidi,"1,83 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Raphael Onyedika,https://www.transfermarkt.com/raphael-onyedika/profil/spieler/699783,17,N/A,Raphael Onyedika,"1,84 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Frank Onyeka,https://www.transfermarkt.com/frank-onyeka/profil/spieler/421637,36,N/A,Frank Onyeka,"1,83 m",Right,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Joe Aribo,https://www.transfermarkt.com/joe-aribo/profil/spieler/468198,34,N/A,Joe Aribo,"1,83 m",Left,N/A
Nigeria - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/nigeria/kader/verein/3444/saison_id/2024/plus/1,Alhassan Yusuf,https://www.transfermarkt.com/alhassan-yusuf/profil/spieler/600481,8,N/A,Alhassan Yusuf,"1,73 m",Right,N/A
