team,team_url,name,profile_url,age,position,market_value,height,foot,debut
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Ronwen Williams,https://www.transfermarkt.com/ronwen-williams/profil/spieler/175577,56,Ronwen Williams Goalkeeper,Ronwen Williams,"1,84 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Ricardo Goss,https://www.transfermarkt.com/ricardo-goss/profil/spieler/258304,4,Ricardo Goss Goalkeeper,Ricardo Goss,"1,81 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Sipho Chaine,https://www.transfermarkt.com/sipho-chaine/profil/spieler/453370,3,Sipho Chaine Goalkeeper,Sipho Chaine,"1,81 m",N/A,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Bruce Bvuma,https://www.transfermarkt.com/bruce-bvuma/profil/spieler/498985,3,Bruce Bvuma Goalkeeper,Bruce Bvuma,"1,86 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Veli Mothwa,https://www.transfermarkt.com/veli-mothwa/profil/spieler/286562,10,Veli Mothwa Goalkeeper,Veli Mothwa,"1,80 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Sage Stephens,https://www.transfermarkt.com/sage-stephens/profil/spieler/160289,N/A,Sage Stephens Goalkeeper,Sage Stephens,"1,87 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Nkosinathi Sibisi,https://www.transfermarkt.com/nkosinathi-sibisi/profil/spieler/399068,18,N/A,Nkosinathi Sibisi,"1,77 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Siyabonga Ngezana,https://www.transfermarkt.com/siyabonga-ngezana/profil/spieler/445610,7,N/A,Siyabonga Ngezana,"1,88 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Tapelo Xoki,https://www.transfermarkt.com/tapelo-xoki/profil/spieler/329542,1,N/A,Tapelo Xoki,"1,84 m",Right,N/A
South Africa - Detailed squad 2024 (Detailed view) | Transfermarkt,https://www.transfermarkt.com/south-africa/kader/verein/3806/saison_id/2024/plus/1,Sphiwe Msimango,https://www.transfermarkt.com/sphiwe-msimango/profil/spieler/556784,N/A,N/A,Sphiwe Msimango,"1,90 m",Right,N/A
